,POLITICAL_UNIT,NAME,WGMS_ID,LATITUDE,LONGITUDE,RGI_ID,GlaThiDa_ID,Leclercq_ID,status,remark
3116,US,SPIDER,3941,48.14,-120.83,RGI50-02.00974,,,True,
3383,NO,AUSTRE MEMURUBREEN,1317,61.55,8.5,RGI50-08.01655,,,True,
3387,NO,BLAABREEN & RUKLEBREEN,3803,60.07,6.42,,,,False,"multiple: RGI50-08.01428,RGI50-08.02030,RGI50-08.01426; unclear which one Blabreen is (polygonin WGI, but not in neighborhood of Ruklebreen"
3389,NO,BLAAISEN,1328,68.33,17.85,RGI50-08.00710,,,True,
3391,NO,BLOMSTERSKARDSBREEN,1321,59.98,6.28,,,,False,"multiple: RGI50-08.01436, RGI50-08.01418 and RGI50-08.01429 (according to Atlas of glaciers in South Norway(Oestrem et al. 188, 38 as cited in Wittmeier 2010"
3392,NO,BLOMSTOELSKARDSBREEN,3339,59.94,6.33,,,,False,"right half of RGI50-08.01436 (part of Blomsterskardsbreen)"
3396,NO,BONDHUSBREA,318,60.03,6.33,RGI50-08.01432,,22,True,
3416,NO,HARBARDSBREEN,2320,61.7,7.68,RGI50-08.01736,,,True,
3446,NO,HOEGTUVBREEN,286,66.45,13.63,,,,False,"Probably RGI50-08.02616"
3447,NO,JOSTEFONN,1676,61.41,6.55,,,,False,"unclear"
3469,NO,OMNSBREEN,3805,60.63,7.48,,,,False,"multiple:RGI50-08.01517, RGI50-08.01520, RGI50-08.01521, RGI50-08.01526 and RGI50-08.01531 according to Lilleoren 2013"
3489,NO,SVELGJABREEN,3343,59.94,6.28,,,,False,"left half of RGI50-08.01436 (part of Blomsterskardsbreen)"
3496,NO,TUNSBERGDALSBREEN,1316,61.6,7.05,RGI50-08.02379,,,True,
3497,KE,LEWIS,695,-0.15,37.3,RGI50-16.01638,,,True,
3498,KG,ABRAMOV,732,39.62,71.56,RGI50-13.54430,,,True,
3499,SJ,WALDEMARBREEN,2307,78.67,12.0,RGI50-07.00492,,,True,
