,GLACIER_NAME,GlaThiDa_ID,LAT,LON,POLITICAL_UNIT,RGI_equivalent,remark,status
0,BRANDNER,93.0,47.0586,9.7003,AT,RGI50-11.00408,,True
1,FINDELEN,94.0,46.0,7.87,CH,RGI50-11.02789,,True
2,GEFRORENE WAND,95.0,47.0653,11.6792,AT,RGI50-11.00327,,True
3,GEPATSCH,96.0,46.85,10.77,AT,RGI50-11.00746,,True
4,GR. GOSAU,97.0,47.48,13.6,AT,RGI50-11.00003,,True
5,KESSELWAND,102.0,46.8383,10.7933,AT,RGI50-11.00787,,True
6,ZMUTTGLETSCHER,108.0,46.0,7.63,CH,RGI50-11.02755,,True
7,KLEINFLEISSKEES,213.0,47.05,12.95,AT,RGI50-11.00251,,True
8,OBERES WURTENKEES,215.0,47.0344,13.0148,AT,RGI50-11.00306,,True
9,UNTERES WURTENKEES,216.0,47.0385,13.0061,AT,RGI50-11.00300,,True
10,CLARIDENFIRN,220.0,46.8464,8.9006,CH,RGI50-11.00843,,True
11,WEISSSEEFERNER,239.0,46.85,10.72,AT,RGI50-11.00770,,True
12,GEPATSCHFERNER,240.0,46.85,10.77,AT,RGI50-11.00746,,True
13,KESSELWANDFERNER,243.0,46.8383,10.7933,AT,RGI50-11.00787,,True
14,MITTELBERGFERNER,245.0,46.92,10.9,AT,RGI50-11.00666,,True
15,GURGLERFERNER,247.0,46.8,10.98,AT,RGI50-11.00887,,True
16,HALLSTAETTER,248.0,47.482,13.615,AT,RGI50-11.00002,,True
17,HINTEREISFERNER,249.0,46.797,10.77,AT,RGI50-11.00897,,True
18,SCHLADMINGER GLETSCHER,253.0,47.47,13.63,AT,RGI50-11.00006,,True
19,FERNAUFERNER,254.0,46.98,11.13,AT,RGI50-11.00548,,True
20,STUBACHER SONNBLICKKEES,258.0,47.13,12.6,AT,RGI50-11.00080,,True
21,PASTERZE,261.0,47.1,12.7,AT,RGI50-11.00106,,True
22,RETTENBACHFERNER,262.0,46.937,10.933,AT,RGI50-11.00648,,True
23,RAINERKEES,263.0,47.093,12.357,AT,RGI50-11.00161,,True
24,BOCKKOGELKEES E,266.0,47.028,11.11,AT,RGI50-11.00450,,True
25,BOCKKOGELKEES W,267.0,47.023,11.102,AT,RGI50-11.00457,,True
26,BRANDNER ,268.0,47.06,9.6983,AT,RGI50-11.00427,,True
27,BRUNNENKOGELFERNER,269.0,46.925,10.87,AT,RGI50-11.00670,,True
28,GAISSBERGFERNER,270.0,46.83,11.065,AT,RGI50-11.00836,,True
29,HOCHALMKEES,271.0,47.02,13.33,AT,RGI50-11.00303,,True
30,HOCHJOCHFERNER,272.0,46.78,10.82,AT,RGI50-11.00957,,True
31,HORNKEES,273.0,47.0,11.82,AT,RGI50-11.00459,,True
32,JAMTALFERNER,274.0,46.8617,10.1617,AT,RGI50-11.00781,,True
33,LANGTALER FERNER,275.0,46.7933,11.0167,AT,RGI50-11.00929,,True
34,LUESENER FERNER,276.0,47.0867,11.1283,AT,RGI50-11.00295,,True
35,LUESENER FERNER BERGLAS,277.0,47.078,11.12,AT,RGI50-11.00343,,True
36,MARZELLFERNER,278.0,46.78,10.88,AT,RGI50-11.00958,,True
37,MULLWITZKEES,279.0,47.0867,12.38,AT,RGI50-11.00190,,True
38,NIEDERJOCHFERNER,280.0,46.78,10.87,AT,RGI50-11.00958,,True
39,NILLKEES,281.0,47.0517,12.4117,AT,RGI50-11.00319,,True
40,OCHSENTALER ,283.0,46.855,10.105,AT,RGI50-11.00797,,True
41,ROTMOOSFERNER,284.0,46.8167,11.0483,AT,RGI50-11.00871,,True
42,SCHALFFERNER,285.0,46.78,10.93,AT,RGI50-11.00945,,True
43,SCHLATENKEES,286.0,47.1122,12.3839,AT,RGI50-11.00135,,True
44,SCHMIEDINGERKEES,287.0,47.18,12.68,AT,RGI50-11.00014,,True
45,SCHWARZENBERG,288.0,47.05,11.12,AT,RGI50-11.00392,,True
46,SCHWARZENSTEINKEES,289.0,47.02,11.85,AT,RGI50-11.00415,,True
47,SEXEGERTENFERNER,291.0,46.9,10.8,AT,RGI50-11.00698,,True
48,SULZENAUFERNER,292.0,46.98,11.15,AT,RGI50-11.00541,,True
49,SULZTALFERNER,293.0,47.0,11.08,AT,RGI50-11.00487,,True
50,TIEFENBACHFERNER,295.0,46.92,10.93,AT,RGI50-11.00674,,True
51,UMBALKEES,296.0,47.0567,12.2417,AT,RGI50-11.00278,,True
