,GLACIER_NAME,GlaThiDa_ID,LAT,LON,POLITICAL_UNIT,RGI_equivalent,remark,status
52,UNTERSULZBACHKEES,297.0,47.1333,12.35,AT,RGI50-11.00068,,True
53,VERMUNTGLETSCHER,298.0,46.8533,10.125,AT,RGI50-11.00807,,True
54,VERNAGTFERNER,299.0,46.877,10.817,AT,RGI50-11.00719,,True
55,VILTRAGENFERNER,300.0,47.128,12.372,AT,RGI50-11.00110,,True
56,WAXEGGKEES,302.0,47.0,11.7917,AT,RGI50-11.00469,,True
57,WINDACHER FERNER,303.0,46.9767,11.1,AT,RGI50-11.00584,,True
58,GUSLAR GR.,309.0,46.85,10.8,AT,RGI50-11.00779,,True
59,RHONE,353.0,46.62,8.4,CH,RGI50-11.01238,,True
60,SILVRETTA,354.0,46.85,10.08,CH,RGI50-11.00804,,True
61,UNTERAAR,355.0,46.57,8.22,CH,RGI50-11.01328,,True
62,ZINAL,356.0,46.07,7.63,CH,RGI50-11.02641,,True
63,PIZOLGLETSCHER,362.0,46.9595,9.3891,CH,RGI50-11.00638,,True
64,SCHNEEFERNER N,486.0,47.4139,10.972,DE,RGI50-11.03974,,True
65,SCHNEEFERNER S,487.0,47.4,10.9736,DE,RGI50-11.03975,,True
66,HOELLENTALFERNER,488.0,47.4231,10.9912,DE,RGI50-11.03977,,True
67,WATZMANNGLETSCHER,490.0,47.5543,12.9282,DE,RGI50-11.03980,,True
68,FINDELEN,497.0,45.9979,7.8465,CH,RGI50-11.02789,,True
69,TORTIN,517.0,46.083,7.312,CH,RGI50-11.02611,,True
70,MUTT,518.0,46.552,8.421,CH,RGI50-11.01492,,True
71,SEX ROUGE,519.0,46.327,7.213,CH,RGI50-11.02244,,True
72,MURTEL,520.0,46.409,9.825,CH,RGI50-11.02024,,True
73,SEGNAS,521.0,46.911,9.252,CH,RGI50-11.00695,,True
74,CORVATSCH,522.0,46.418,9.824,CH,RGI50-11.01962,,True
75,ST. ANNA,523.0,46.599,8.601,CH,RGI50-11.01367,,True
76,GURSCHEN,524.0,46.606,8.615,CH,RGI50-11.01344,,True
77,SCHWARZBACH,526.0,46.598,8.613,CH,RGI50-11.01376,,True
78,CORBASSIERE,555.0,45.97999954,7.300000191,CH,RGI50-11.02782,,True
79,GIETRO,556.0,46.0,7.380000114,CH,RGI50-11.02791,,True
80,BRENAY,557.0,45.97000122,7.420000076,CH,RGI50-11.02819,,True
81,OTEMMA,558.0,45.95000076,7.449999809,CH,RGI50-11.02824,,True
82,MONT DURAND,559.0,45.91999817,7.329999924,CH,RGI50-11.02930,,True
0,GOLDBERGKEES,212.0,47.03,12.47,AT,,"unclear, probably multiple RGI polygons: RGI50-11.00267 and RGI50-11.00281 (guess from plot Kleinfleisskees)",False
1,GRINNER FERNER,238.0,47.1717,10.48,AT,,Most probably RGI50-11.00112 (left should be Parseierferner),False
2,GRIESSKOGEL,241.0,47.105,11.032,AT,,"unclear, probably RGI50-11.00254",False
3,TISENJOCHFERNER,244.0,46.7817,10.8483,AT,,"Most probably RGI50-11.00996 (not indicated on KOMPASS, but right next to Tisenjoch",False
4,KARLESFERNER,246.0,46.93,10.92,AT,,Most probably RGI50-11.00663 (polygon shared with Hangender Ferner),False
5,DAUNKOGELFERNER,251.0,47.0,11.1,AT,,"RGI50-11.00498 is DaunKOPFferner. RGI50-11.00518 includes DaunKOGELferner, but is also Schaufelferner, Windacher Ferner and Bildstockferner",False
6,SCHAUFELFERNER,252.0,46.98,11.12,AT,,RGI50-11.00518 (shared with Daunkogelferner,False
7,GAISSKARFERNER,255.0,46.97,11.12,AT,,"RGI50-11.00588, possibly also RGI50-11.00592",False
8,GEFRORENE WAND,256.0,47.0733,11.685,AT,,"Should be RGI50-11.00313, but see issue with second entry of Gefrorene Wand (GlaThiDa ID 95)",False
9,GROSSER RIEPENKEES,257.0,47.0533,11.675,AT,,"Probably RGI50-11.00353, but not 100perc clear",False
10,OEDENWINKELKEES,259.0,47.1095,12.6453,AT,,"RGI50-11.00124, possibly also RGI50-11.00150",False
11,OESTLICHER WANNETFERNER,260.0,46.8881,10.775,AT,,"Probably RGI50-11.00732, but unclear why oestlich",False
12,ALPEINER FERNER,264.0,47.0317,11.6417,AT,,ERROR suspected. Plot does not conform at all with what is expected. Must be RGI50-11.00376 (from Plot of Bockkogelferner),False
13,BACHFALLENFERNER,265.0,47.0767,11.0783,AT,,"RGI50-11.00325,possibly also RGI50-11.00332",False
14,OBERSULZBACHKEES,282.0,47.1133,12.3017,AT,,Two RGIs: RGI50-11.00141 and RGI50-11.00116,False
15,SCHWARZMILZFERNER,290.0,47.2983,10.2967,AT,,no equivalent in RGI,False
16,TASCHACHFERNER W,294.0,46.9016,10.8486,AT,,"RGI50-11.00687, but maybe also some others",False
17,VORDERER OELGRUBENGERNER,301.0,46.91,10.782,AT,,"unclear, probably RGI50-11.00673",False
18,GEFRORENE WAND,313.0,47.067,11.667,AT,,Seems to be Tuxer Ferner this time,False
19,OBERSULZBACHKEES,317.0,47.111,12.2931,AT,,Part 2: RGI50-11.00168,False
20,BLAUEIS,489.0,47.571,12.8666,DE,,RGI50-11.03979 and RGI50-11.03978,False
21,BLAUSCHNEE,527.0,47.252,9.345,CH,,Probably no equivalent in RGI,False
